# x  y  z  value
-0.707107 -0.707107 0 -0.113743
-0.634393 -0.77301 0 -0.113643
-0.681218 -0.681218 0 -0.114623
-0.607969 -0.738778 0 -0.114876
-0.55557 -0.83147 0 -0.113565
-0.531665 -0.792615 0 -0.114941
-0.65533 -0.65533 0 -0.117338
-0.581544 -0.704546 0 -0.118712
-0.507759 -0.753761 0 -0.11921
-0.471397 -0.881921 0 -0.113484
-0.450016 -0.838455 0 -0.115037
-0.382683 -0.92388 0 -0.113468
-0.366098 -0.880048 0 -0.114923
-0.428636 -0.794988 0 -0.119881
-0.349513 -0.836215 0 -0.119437
-0.629442 -0.629442 0 -0.122014
-0.556647 -0.672174 0 -0.124916
-0.483853 -0.714907 0 -0.126642
-0.603553 -0.603553 0 -0.128812
-0.53175 -0.639803 0 -0.133869
-0.459948 -0.676052 0 -0.137624
-0.40839 -0.753645 0 -0.127829
-0.332927 -0.792383 0 -0.127299
-0.388145 -0.712302 0 -0.139429
-0.316342 -0.748551 0 -0.13892
-0.290285 -0.95694 0 -0.113389
-0.276678 -0.908358 0 -0.115076
-0.19509 -0.980785 0 -0.113383
-0.18586 -0.932061 0 -0.115013
-0.263072 -0.859776 0 -0.120344
-0.176631 -0.883336 0 -0.120086
-0.0980171 -0.995185 0 -0.113395
-0.0931662 -0.946329 0 -0.114991
-1.21169e-16 -1 0 -0.113467
-1.13596e-16 -0.955806 0 -0.114759
-0.0883153 -0.897474 0 -0.119973
-1.06023e-16 -0.911612 0 -0.118762
-0.250164 -0.813498 0 -0.129034
-0.167401 -0.834612 0 -0.128964
-0.237256 -0.767219 0 -0.141768
-0.158171 -0.785887 0 -0.14218
-0.0837004 -0.851015 0 -0.128161
-9.84497e-17 -0.867417 0 -0.12571
-0.0790854 -0.804555 0 -0.140122
-9.08766e-17 -0.823223 0 -0.135932
-0.577665 -0.577665 0 -0.137952
-0.508188 -0.609429 0 -0.145121
-0.438711 -0.641192 0 -0.150854
-0.551777 -0.551777 0 -0.149696
-0.484625 -0.579054 0 -0.159469
-0.417474 -0.606332 0 -0.167766
-0.369233 -0.672956 0 -0.154288
-0.299756 -0.704719 0 -0.154867
-0.350322 -0.63361 0 -0.17351
-0.283171 -0.660887 0 -0.175892
-0.525888 -0.525888 0 -0.164377
-0.461063 -0.54868 0 -0.177354
-0.396237 -0.571472 0 -0.18895
-0.5 -0.5 0 -0.182407
-0.4375 -0.518306 0 -0.199327
-0.375 -0.536612 0 -0.215143
-0.331411 -0.594264 0 -0.197861
-0.266585 -0.617055 0 -0.202964
-0.3125 -0.554917 0 -0.228315
-0.25 -0.573223 0 -0.237371
-0.224817 -0.723297 0 -0.158207
-0.149878 -0.741874 0 -0.158419
-0.212378 -0.679374 0 -0.179607
-0.141585 -0.697861 0 -0.179428
-0.0749391 -0.760452 0 -0.155486
-8.33036e-17 -0.779029 0 -0.149875
-0.0707927 -0.716348 0 -0.175401
-7.57305e-17 -0.734835 0 -0.168122
-0.199939 -0.635452 0 -0.206907
-0.133293 -0.653848 0 -0.206098
-0.1875 -0.591529 0 -0.241318
-0.125 -0.609835 0 -0.23957
-0.0666464 -0.672244 0 -0.200683
-6.81575e-17 -0.690641 0 -0.191409
-0.0625 -0.628141 0 -0.232383
-6.05844e-17 -0.646447 0 -0.220677
0.0980171 -0.995185 0 -0.113395
0.0931662 -0.946329 0 -0.114991
0.19509 -0.980785 0 -0.113383
0.18586 -0.932061 0 -0.115013
0.0883153 -0.897474 0 -0.119973
0.176631 -0.883336 0 -0.120086
0.290285 -0.95694 0 -0.113389
0.276678 -0.908358 0 -0.115076
0.382683 -0.92388 0 -0.113468
0.366098 -0.880048 0 -0.114923
0.263072 -0.859776 0 -0.120344
0.349513 -0.836215 0 -0.119437
0.0837004 -0.851015 0 -0.128161
0.167401 -0.834612 0 -0.128964
0.0790854 -0.804555 0 -0.140122
0.158171 -0.785887 0 -0.14218
0.250164 -0.813498 0 -0.129034
0.332927 -0.792383 0 -0.127299
0.237256 -0.767219 0 -0.141768
0.316342 -0.748551 0 -0.13892
0.471397 -0.881921 0 -0.113484
0.450016 -0.838455 0 -0.115037
0.55557 -0.83147 0 -0.113565
0.531665 -0.792615 0 -0.114941
0.428636 -0.794988 0 -0.119881
0.507759 -0.753761 0 -0.11921
0.634393 -0.77301 0 -0.113643
0.607969 -0.738778 0 -0.114876
0.707107 -0.707107 0 -0.113743
0.681218 -0.681218 0 -0.114623
0.581544 -0.704546 0 -0.118712
0.65533 -0.65533 0 -0.117338
0.40839 -0.753645 0 -0.127829
0.483853 -0.714907 0 -0.126642
0.388145 -0.712302 0 -0.139429
0.459948 -0.676052 0 -0.137624
0.556647 -0.672174 0 -0.124916
0.629442 -0.629442 0 -0.122014
0.53175 -0.639803 0 -0.133869
0.603553 -0.603553 0 -0.128812
0.0749391 -0.760452 0 -0.155486
0.149878 -0.741874 0 -0.158419
0.0707927 -0.716348 0 -0.175401
